Date,Morning_Peak,Day_Peak,Evening_Peak,Maximum_Peak_of_Day,Daily_Average_Peak,Peak_Difference
01/04/2024,21680,22516,21708,22516,21968,28
02/04/2024,22209,23030,22304,23030,22514,95
03/04/2024,22683,23504,22730,23504,22972,47
04/04/2024,22906,23520,22480,23520,22969,-426
05/04/2024,22949,23134,22491,23134,22858,-458
06/04/2024,22870,23558,22741,23558,23056,-129
07/04/2024,22522,22723,21514,22723,22253,-1008
08/04/2024,22041,23192,22423,23192,22552,382
09/04/2024,22157,22569,20773,22569,21833,-1384
10/04/2024,21181,22632,22007,22632,21940,826
11/04/2024,21229,21191,20316,21229,20912,-913
12/04/2024,20869,21352,20344,21352,20855,-525
13/04/2024,19693,20959,21171,21171,20608,1478
14/04/2024,20662,20937,20733,20937,20777,71
15/04/2024,21270,22873,22057,22873,22067,787
16/04/2024,22217,23062,22036,23062,22438,-181
17/04/2024,22320,23573,21885,23573,22593,-435
18/04/2024,21840,23304,22639,23304,22594,799
19/04/2024,22151,23407,22438,23407,22665,287
20/04/2024,22543,23078,21061,23078,22227,-1482
21/04/2024,21457,22226,20972,22226,21552,-485
22/04/2024,21310,22884,21123,22884,21772,-187
23/04/2024,21438,22846,21754,22846,22013,316
24/04/2024,20968,22618,21671,22618,21752,703
25/04/2024,21539,23047,22426,23047,22337,887
26/04/2024,21863,22468,21703,22468,22011,-160
27/04/2024,21565,23520,22784,23520,22623,1219
28/04/2024,22164,22619,21569,22619,22117,-595
29/04/2024,21804,23757,22571,23757,22711,767
30/04/2024,22420,23456,22715,23456,22864,295
01/05/2024,21933,19498,19537,21933,20323,-2396
02/05/2024,20255,22289,21847,22289,21464,1592
03/05/2024,21601,22312,22223,22312,22045,622
04/05/2024,21830,22683,22554,22683,22356,724
05/05/2024,22166,22037,21809,22166,22004,-357
06/05/2024,21804,23589,23057,23589,22817,1253
07/05/2024,22376,23040,21642,23040,22353,-734
08/05/2024,21499,23247,22658,23247,22468,1159
09/05/2024,21958,22104,21626,22104,21896,-332
10/05/2024,21775,22069,20628,22069,21491,-1147
11/05/2024,21178,22223,20885,22223,21429,-293
12/05/2024,19456,20700,19765,20700,19974,309
13/05/2024,19882,20354,19180,20354,19805,-702
14/05/2024,19399,21174,19762,21174,20112,363
15/05/2024,19757,21439,21768,21768,20988,2011
16/05/2024,20732,21382,18973,21382,20362,-1759
17/05/2024,19812,21163,20856,21163,20610,1044
18/05/2024,20574,21752,21706,21752,21344,1132
19/05/2024,21063,21549,19956,21549,20856,-1107
20/05/2024,20576,22057,20729,22057,21121,153
21/05/2024,20739,22334,21930,22334,21668,1191
22/05/2024,21009,22859,21727,22859,21865,718
23/05/2024,21049,22346,21874,22346,21756,825
24/05/2024,21097,21889,22203,22203,21730,1106
25/05/2024,21419,21716,21777,21777,21637,358
26/05/2024,21092,21383,19667,21383,20714,-1425
27/05/2024,20445,21786,21520,21786,21250,1075
28/05/2024,21006,21865,22324,22324,21732,1318
29/05/2024,21692,22603,22530,22603,22275,838
30/05/2024,21728,22769,22619,22769,22372,891
31/05/2024,22186,22688,22385,22688,22420,199
01/06/2024,22137,23237,22609,23237,22661,472
02/06/2024,22426,22408,21323,22426,22052,-1103
03/06/2024,21470,23021,21990,23021,22160,520
04/06/2024,21166,22749,20518,22749,21478,-648
05/06/2024,20209,21144,20806,21144,20720,597
06/06/2024,20295,20993,20667,20993,20652,372
07/06/2024,19191,20694,20510,20694,20132,1319
08/06/2024,18374,20313,19977,20313,19555,1603
09/06/2024,18066,18680,18224,18680,18323,158
10/06/2024,16662,18677,19842,19842,18394,3180
11/06/2024,17848,18611,19334,19334,18598,1486
12/06/2024,17957,18508,19979,19979,18815,2022
13/06/2024,18869,18463,19597,19597,18976,728
14/06/2024,18888,18301,19345,19345,18845,457
15/06/2024,18576,18700,20001,20001,19092,1425
16/06/2024,18950,18467,19102,19102,18840,152
17/06/2024,18439,19146,19196,19196,18927,757
18/06/2024,18789,18842,19976,19976,19202,1187
19/06/2024,19417,19127,19940,19940,19495,523
20/06/2024,19298,18984,19634,19634,19305,336
21/06/2024,19186,19131,19495,19495,19271,309
22/06/2024,18743,18839,19914,19914,19165,1171
23/06/2024,18279,18378,18686,18686,18448,407
24/06/2024,18009,18438,20245,20245,18897,2236
25/06/2024,19296,19182,20735,20735,19738,1439
26/06/2024,19573,19564,20738,20738,19958,1165
27/06/2024,19454,19369,19691,19691,19505,237
28/06/2024,18853,18801,19142,19142,18932,289
29/06/2024,18593,18687,19913,19913,19064,1320
30/06/2024,18345,18494,18166,18494,18335,-179
01/07/2024,18073,17997,18894,18894,18321,821
02/07/2024,18440,18139,18940,18940,18506,500
03/07/2024,18918,18746,20497,20497,19387,1579
04/07/2024,19474,19246,20279,20279,19666,805
05/07/2024,19365,19287,20029,20029,19560,664
06/07/2024,19109,19214,19949,19949,19424,840
07/07/2024,18509,18853,18892,18892,18751,383
08/07/2024,18431,18945,19636,19636,19004,1205
09/07/2024,18033,18231,19481,19481,18582,1448
10/07/2024,18844,18564,20260,20260,19223,1416
11/07/2024,19230,18856,19923,19923,19336,693
12/07/2024,19226,18985,19519,19519,19243,293
13/07/2024,18567,18675,19174,19174,18805,607
14/07/2024,17885,18031,17967,18031,17961,82
15/07/2024,18313,18480,19212,19212,18668,899
16/07/2024,18413,18469,19059,19059,18647,646
17/07/2024,18120,18713,18768,18768,18534,648
18/07/2024,18744,18506,19369,19369,18873,625
19/07/2024,18946,18626,19191,19191,18921,245
20/07/2024,18403,18553,18957,18957,18638,554
21/07/2024,17491,18014,17759,18014,17755,268
22/07/2024,17894,18013,18727,18727,18211,833
23/07/2024,18569,18404,18615,18615,18529,46
24/07/2024,18057,18171,18255,18255,18161,198
25/07/2024,17177,17365,17748,17748,17430,571
26/07/2024,17687,17733,18119,18119,17846,432
27/07/2024,17477,17734,18480,18480,17897,1003
28/07/2024,17035,17662,17171,17662,17289,136
29/07/2024,18169,18185,18724,18724,18359,555
30/07/2024,18399,18177,19071,19071,18549,672
31/07/2024,18313,18212,19142,19142,18556,829
01/08/2024,18556,18373,18720,18720,18550,164
02/08/2024,18605,18398,18573,18605,18525,-32
03/08/2024,18336,18343,18864,18864,18514,528
04/08/2024,17640,18163,17762,18163,17855,122
05/08/2024,18434,18267,19024,19024,18575,590
06/08/2024,18815,18729,19298,19298,18947,483
07/08/2024,19224,18958,19389,19389,19190,165
08/08/2024,19075,18833,19200,19200,19036,125
09/08/2024,19005,18967,18554,19005,18842,-451
10/08/2024,18551,18741,18916,18916,18736,365
11/08/2024,18067,18082,18545,18545,18231,478
12/08/2024,19086,18876,19915,19915,19292,829
13/08/2024,19718,19364,20394,20394,19825,676
14/08/2024,20075,19778,20544,20544,20132,469
15/08/2024,19806,17055,17641,19806,18167,-2165
16/08/2024,18982,19354,20096,20096,19477,1114
17/08/2024,19411,19524,19742,19742,19559,331
18/08/2024,18864,18975,19096,19096,18978,232
19/08/2024,18697,18658,17323,18697,18226,-1374
20/08/2024,18246,18103,19342,19342,18564,1096
21/08/2024,18819,18429,19501,19501,18916,682
22/08/2024,19187,18518,19761,19761,19155,574
23/08/2024,18881,18527,18724,18881,18711,-157
24/08/2024,17649,17520,18048,18048,17739,399
25/08/2024,16873,17074,17480,17480,17142,607
26/08/2024,17764,17499,18471,18471,17911,707
27/08/2024,17952,17672,18742,18742,18122,790
28/08/2024,18399,17868,19499,19499,18589,1100
29/08/2024,18734,18235,19761,19761,18910,1027
30/08/2024,18956,18460,19500,19500,18972,544
31/08/2024,18653,18506,19751,19751,18970,1098
01/09/2024,17474,17982,17505,17982,17654,31
02/09/2024,17864,18358,17983,18358,18068,119
03/09/2024,18183,18330,19287,19287,18600,1104
04/09/2024,18716,18506,19888,19888,19037,1172
05/09/2024,18846,18749,19706,19706,19100,860
06/09/2024,18906,18652,19426,19426,18995,520
07/09/2024,18027,17660,17848,18027,17845,-179
08/09/2024,17663,17923,18984,18984,18190,1321
09/09/2024,18889,18877,19858,19858,19208,969
10/09/2024,19362,19507,19959,19959,19609,597
11/09/2024,19198,19282,19406,19406,19295,208
12/09/2024,19088,18629,19181,19181,18966,93
13/09/2024,19222,18828,19650,19650,19233,428
14/09/2024,19025,18768,20169,20169,19321,1144
15/09/2024,18720,18963,18880,18963,18854,160
16/09/2024,18856,19261,19974,19974,19364,1118
17/09/2024,19153,19079,18347,19153,18860,-806
18/09/2024,19428,19724,19652,19724,19601,224
19/09/2024,19948,20313,18981,20313,19747,-967
20/09/2024,19848,20765,19797,20765,20137,-51
21/09/2024,19517,20325,19324,20325,19722,-193
22/09/2024,18699,19244,19079,19244,19007,380
23/09/2024,19236,19061,19772,19772,19356,536
24/09/2024,18722,18684,19837,19837,19081,1115
25/09/2024,18456,18599,18897,18897,18651,441
26/09/2024,18383,18361,19236,19236,18660,853
27/09/2024,18495,18278,19330,19330,18701,835
28/09/2024,18027,17414,19543,19543,18328,1516
29/09/2024,17622,17183,19151,19151,17985,1529
30/09/2024,18684,18072,20001,20001,18919,1317
01/10/2024,19209,18700,20794,20794,19568,1585
02/10/2024,19124,18991,20176,20176,19430,1052
03/10/2024,19453,19294,20663,20663,19803,1210
04/10/2024,20039,19288,21028,21028,20118,989
05/10/2024,19960,19551,21334,21334,20282,1374
06/10/2024,19461,19363,19950,19950,19591,489
07/10/2024,20106,20003,21271,21271,20460,1165
08/10/2024,20915,21058,21591,21591,21188,676
09/10/2024,20758,21091,20786,21091,20878,28
10/10/2024,20248,20222,20798,20798,20423,550
11/10/2024,19477,19382,19792,19792,19550,315
12/10/2024,18117,17047,17213,18117,17459,-904
13/10/2024,17454,18747,19567,19567,18589,2113
14/10/2024,18858,19237,20683,20683,19593,1825
15/10/2024,19498,19360,20908,20908,19922,1410
16/10/2024,19430,19473,21359,21359,20087,1929
17/10/2024,19803,19581,21107,21107,20164,1304
18/10/2024,19845,19598,20606,20606,20016,761
19/10/2024,19084,19244,20391,20391,19573,1307
20/10/2024,17326,17773,19527,19527,18209,2201
21/10/2024,18738,18325,20345,20345,19136,1607
22/10/2024,19185,18775,20780,20780,19580,1595
23/10/2024,19433,19120,21458,21458,20004,2025
24/10/2024,19673,19099,21024,21024,19932,1351
25/10/2024,19814,19070,20762,20762,19882,948
26/10/2024,19460,19387,21066,21066,19971,1606
27/10/2024,19319,19302,20457,20457,19693,1138
28/10/2024,19692,20838,21390,21390,20640,1698
29/10/2024,20180,21586,21460,21586,21075,1280
30/10/2024,20154,21480,21178,21480,20937,1024
31/10/2024,19949,19936,19175,19949,19687,-774
01/11/2024,18220,17773,16672,18220,17555,-1548
02/11/2024,17273,17886,17472,17886,17544,199
03/11/2024,17580,18129,17443,18129,17717,-137
04/11/2024,17952,20112,19796,20112,19287,1844
05/11/2024,19321,21181,20741,21181,20414,1420
06/11/2024,19905,21647,21171,21647,20908,1266
07/11/2024,20056,21707,21112,21707,20958,1056
08/11/2024,20095,21817,21049,21817,20987,954
09/11/2024,20134,22051,21338,22051,21174,1204
10/11/2024,19883,21635,20195,21635,20571,312
11/11/2024,20603,22437,21443,22437,21494,840
12/11/2024,20944,22491,21527,22491,21654,583
13/11/2024,21049,22455,21769,22455,21758,720
14/11/2024,21230,22851,21733,22851,21938,503
15/11/2024,21224,23389,21324,23389,21979,100
16/11/2024,21158,22964,21806,22964,21976,648
17/11/2024,20641,22654,20776,22654,21357,135
18/11/2024,21101,22694,21680,22694,21825,579
19/11/2024,21212,22998,21687,22998,21966,475
20/11/2024,20053,20755,18993,20755,19934,-1060
21/11/2024,20636,22517,21268,22517,21474,632
22/11/2024,21452,23042,21084,23042,21859,-368
23/11/2024,21226,23159,21326,23159,21904,100
24/11/2024,20444,22749,20601,22749,21265,157
25/11/2024,21066,22630,21073,22630,21590,7
26/11/2024,21255,22906,21214,22906,21792,-41
27/11/2024,21509,22838,21252,22838,21866,-257
28/11/2024,21501,22840,21166,22840,21836,-335
29/11/2024,21262,22591,21029,22591,21627,-233
30/11/2024,21173,23064,21096,23064,21778,-77
01/12/2024,20273,23001,19916,23001,21063,-357
02/12/2024,21637,23692,21501,23692,22277,-136
03/12/2024,22211,24208,21555,24208,22658,-656
04/12/2024,21906,23813,22092,23813,22604,186
05/12/2024,22136,23667,21830,23667,22544,-306
06/12/2024,21403,22714,21695,22714,21937,292
07/12/2024,21333,22586,21582,22586,21834,249
08/12/2024,20547,22506,20268,22506,21107,-279
09/12/2024,21353,22138,21245,22138,21579,-108
10/12/2024,21956,23144,21705,23144,22268,-251
11/12/2024,22051,23449,21792,23449,22431,-259
12/12/2024,22022,23219,21462,23219,22234,-560
13/12/2024,21833,23293,21325,23293,22150,-508
14/12/2024,21547,23407,21210,23407,22055,-337
15/12/2024,20433,22752,20147,22752,21111,-286
16/12/2024,21290,22786,21410,22786,21829,120
17/12/2024,22032,23549,21799,23549,22460,-233
18/12/2024,22384,23787,21940,23787,22704,-444
19/12/2024,22496,24105,21930,24105,22844,-566
20/12/2024,22592,24033,21297,24033,22641,-1295
21/12/2024,22022,24156,21649,24156,22609,-373
22/12/2024,21449,23969,20502,23969,21973,-947
23/12/2024,22322,24108,21390,24108,22607,-932
24/12/2024,22413,24405,21552,24405,22790,-861
25/12/2024,22059,24495,21473,24495,22676,-586
26/12/2024,22369,24374,21440,24374,22728,-929
27/12/2024,21482,23441,20573,23441,21832,-909
28/12/2024,20819,22451,21183,22451,21484,364
29/12/2024,20838,23178,20574,23178,21530,-264
30/12/2024,21301,23208,21283,23208,21931,-18
31/12/2024,21711,23433,21216,23433,22120,-495
01/01/2025,20955,22791,20597,22791,21448,-358
02/01/2025,21651,23500,21632,23500,22261,-19
03/01/2025,22142,23426,21322,23426,22297,-820
04/01/2025,21992,23720,21865,23720,22526,-127
05/01/2025,21446,23856,20602,23856,21968,-844
06/01/2025,22247,24270,21697,24270,22738,-550
07/01/2025,23009,24480,22098,24480,23196,-911
08/01/2025,22864,24196,22057,24196,23039,-807
09/01/2025,22803,24199,21967,24199,22990,-836
10/01/2025,22793,24360,21588,24360,22914,-1205
11/01/2025,22606,24860,21919,24860,23128,-687
12/01/2025,22001,24222,20717,24222,22313,-1284
13/01/2025,22872,24889,21798,24889,23186,-1074
14/01/2025,23237,25605,21388,25605,23410,-1849
15/01/2025,23261,24999,21936,24999,23399,-1325
16/01/2025,23253,24704,21881,24704,23279,-1372
17/01/2025,23078,24726,21753,24726,23186,-1325
18/01/2025,22685,24645,21930,24645,23087,-755
19/01/2025,22032,24246,20749,24246,22342,-1283
20/01/2025,22716,24366,22102,24366,23061,-614
21/01/2025,23436,24713,22387,24713,23512,-1049
22/01/2025,23536,24901,22329,24901,23589,-1207
23/01/2025,23352,24815,22396,24815,23521,-956
24/01/2025,23676,24915,22394,24915,23662,-1282
25/01/2025,23030,25140,22325,25140,23498,-705
26/01/2025,22063,21665,19109,22063,20946,-2954
27/01/2025,22702,24800,22573,24800,23358,-129
28/01/2025,23473,25081,22731,25081,23762,-742
29/01/2025,23792,25073,22622,25073,23829,-1170
30/01/2025,23794,25346,22643,25346,23928,-1151
31/01/2025,23692,25054,22226,25054,23657,-1466
01/02/2025,22840,24868,22405,24868,23371,-435
02/02/2025,22335,24539,21449,24539,22774,-886
03/02/2025,23359,25027,22519,25027,23635,-840
04/02/2025,23792,25314,22901,25314,24002,-891
05/02/2025,23963,25112,23088,25112,24054,-875
06/02/2025,23913,25191,22924,25191,24009,-989
07/02/2025,23938,25356,22596,25356,23963,-1342
08/02/2025,23422,25558,23086,25558,24022,-336
09/02/2025,23038,25265,21925,25265,23409,-1113
10/02/2025,23821,25424,23114,25424,24120,-707
11/02/2025,24224,25433,23393,25433,24350,-831
12/02/2025,23875,25470,23175,25470,24173,-700
13/02/2025,23925,25116,22844,25116,23962,-1081
14/02/2025,23395,24933,22823,24933,23717,-572
15/02/2025,23353,25252,22954,25252,23853,-399
16/02/2025,22775,24726,21948,24726,23150,-827
17/02/2025,23626,25296,23127,25296,24016,-499
18/02/2025,24221,25684,23477,25684,24461,-744
19/02/2025,23959,25987,23340,25987,24429,-619
20/02/2025,24004,25474,23407,25474,24295,-597
21/02/2025,24164,25216,23077,25216,24152,-1087
22/02/2025,23615,25435,23399,25435,24150,-216
23/02/2025,23023,24598,22596,24598,23406,-427
24/02/2025,23827,25351,23486,25351,24221,-341
25/02/2025,24041,25435,23607,25435,24361,-434
26/02/2025,23874,25612,22807,25612,24098,-1067
27/02/2025,23945,25248,23522,25248,24238,-423
28/02/2025,23962,25383,23285,25383,24210,-677
01/03/2025,23470,24878,23481,24878,23943,11
02/03/2025,22834,24462,22659,24462,23318,-175
03/03/2025,23580,25156,23545,25156,24094,-35
04/03/2025,24008,25415,24398,25415,24607,390
05/03/2025,24148,24864,23888,24864,24300,-260
06/03/2025,23506,24519,23146,24519,23724,-360
07/03/2025,23719,24509,22995,24509,23741,-724
08/03/2025,23336,24429,23421,24429,23729,85
09/03/2025,23017,24300,23124,24300,23480,107
10/03/2025,23706,25470,24337,25470,24504,631
11/03/2025,24117,25370,24139,25370,24542,22
12/03/2025,24367,25538,24259,25538,24721,-108
13/03/2025,24424,26028,25039,26028,25164,615
14/03/2025,23163,22535,20773,23163,22157,-2390
15/03/2025,22125,24465,23794,24465,23461,1669
16/03/2025,23349,24558,23260,24558,23722,-89
17/03/2025,23829,25273,24313,25273,24472,484
18/03/2025,24034,25196,24312,25196,24514,278
19/03/2025,24115,25359,24341,25359,24605,226
20/03/2025,24268,25124,24242,25124,24545,-26
21/03/2025,24171,24570,23674,24570,24138,-497
22/03/2025,23663,24449,23820,24449,23977,157
23/03/2025,23600,24174,22980,24174,23585,-620
24/03/2025,23491,25023,24380,25023,24298,889
25/03/2025,24026,25288,24758,25288,24691,732
26/03/2025,24173,24993,24440,24993,24535,267
27/03/2025,24189,25330,24394,25330,24638,205
28/03/2025,24283,24775,24231,24775,24430,-52
29/03/2025,24036,24999,24375,24999,24470,339
30/03/2025,23749,24222,22987,24222,23653,-762
31/03/2025,23313,24985,23436,24985,23911,123
01/04/2025,23145,24772,23112,24772,23676,-33
02/04/2025,21786,23620,23082,23620,22829,1296
03/04/2025,23146,23469,20830,23469,22482,-2316
